name,longitude,latitude
chacrise,3.4,49.3
serches,3.45,49.35
acy,3.41667,49.35
verneuil sous coucy,3.31667,49.5333
bazoches sur vesles,3.61861,49.3073
mauregny en haye,3.8,49.5333
hartennes et taux,3.35,49.2667
vasseny,3.48333,49.35
merval,3.7,49.35
corcy,3.21667,49.25
bony,3.21667,49.9833
breny,3.35,49.1833
brecy,3.43333,49.15
bruyeres sur fere,3.43333,49.1833
flavy le martel,3.2,49.7167
pancy courtecon,3.65,49.4667
bosmont sur serre,3.86667,49.7333
missy aux bois,3.25,49.3333
surfontaine,3.45,49.7333
dagny lambercy,4.03333,49.7667
lanchy,3.08333,49.8333
vaudesson,3.48333,49.4667
coeuvres et valsery,3.15,49.3333
epieds,3.45,49.1
villeneuve saint germain,3.35,49.3833
alaincourt,3.36667,49.75
soucy,3.13333,49.3167
archon,4.11667,49.7417
pargny filain,3.53333,49.4667
germaine,3.11667,49.7833
la neuville housset,3.71667,49.7833
belleau,3.3,49.1
paars,3.6,49.3333
laniscourt,3.55,49.55
sermoise,3.45,49.3667
barenton bugny,3.65,49.6333
quierzy,3.13333,49.5667
cerizy,3.33333,49.75
la ferte chevresis,3.56667,49.7333
ramicourt,3.33333,49.95
bussiares,3.25,49.0833
bernot,3.5,49.8667
lerzy,3.86667,49.9333
samoussy,3.73333,49.5833
grougis,3.53333,49.9333
macquigny,3.55,49.8833
la flamengrie,3.91667,50
servais,3.35,49.6167
bertricourt,4,49.3833
osly courtil,3.21667,49.4
verneuil sur serre,3.66667,49.65
mayot,3.38333,49.7
wassigny,3.6,50.0167
barenton cel,3.63333,49.65
englancourt,3.8,49.9167
athies sous laon,3.68333,49.5667
froidestrees,3.9,49.9333
la malmaison,3.98333,49.5167
manicamp,3.16667,49.5667
barenton sur serre,3.68333,49.6667
audigny,3.65,49.85
ohis,4.01667,49.9333
martigny,4.13333,49.8667
barisis,3.32806,49.5787
epaux bezu,3.35,49.1
abbecourt,3.18333,49.6
hauteville,3.51667,49.8667
benay,3.31667,49.75
la neuville en beine,3.15,49.6833
tupigny,3.6,49.95
vervins,3.9,49.8333
dorengt,3.68333,49.9667
saint gobert,3.81667,49.8
parcy et tigny,3.335,49.2787
saint pierre les franqueville,3.82361,49.8195
mont notre dame,3.58333,49.3
mont saint martin,3.63333,49.2833
chierry,3.43333,49.0333
cutry,3.18333,49.35
chevennes,3.73333,49.8167
montigny le franc,3.91667,49.6833
bourg et comin,3.65,49.4
saint agnan,3.6,49.0167
coulonges cohan,3.63639,49.2012
premontre,3.4,49.55
courtrizy et fussigny,3.8,49.5167
jumencourt,3.35,49.5167
clairfontaine,3.98333,49.9833
sequehart,3.33333,49.9167
agnicourt et sechelles,3.95,49.7167
roucy,3.81667,49.3667
premont,3.38333,50
clastres,3.23333,49.7333
